full_name,county,state,state_abr,population,unemp,health_ins,poverty,SNAP,no_comp,no_internet,home_broad,broad_num,broad_avail,broad_cost,population_bbn,price_bbn,wired_bbn,provide_bbn,all25_bbn,downave_bbn,access_bbn,slowfrac_bbn
"Brooks County, Georgia",Brooks,Georgia,GA,15457.0,3.4,20.8,27.0,18.0,19.7,32.4,66.5,4.0,80.0,66.24,10656.0,35.0,6.184496996996997,12.001783033033032,6.465277777777779,26.131429241741742,83.18571696696696,0.18271396396396397
"Bryan County, Georgia",Bryan,Georgia,GA,39627.0,3.0,11.2,14.1,8.0,7.4,14.1,85.3,9.0,97.8,63.7,34126.0,29.0,7.616333587294146,13.616333587294147,8.616333587294145,83.6690139483092,98.19829455547091,0.0
"Bulloch County, Georgia",Bulloch,Georgia,GA,79608.0,3.7,13.4,28.7,16.7,11.3,26.3,73.2,6.0,100.0,62.24,65886.0,29.0,5.911088850438636,11.911088850438636,6.95677382144917,62.45595650062228,100.0,0.06946847585222961
"Burke County, Georgia",Burke,Georgia,GA,22383.0,5.1,13.6,24.8,21.9,16.9,32.9,66.5,3.0,73.3,70.0,19294.0,79.99,4.052814346428942,9.942987457240594,3.9429874572405934,35.50067222970872,71.16621747693584,0.27614802529283716
"Butts County, Georgia",Butts,Georgia,GA,24936.0,3.4,10.4,23.8,20.1,21.7,33.4,66.4,6.0,79.6,67.5,1934.0,35.0,4.0,9.0,6.0,111.78,98.0,0.0
"Calhoun County, Georgia",Calhoun,Georgia,GA,6189.0,3.6,19.3,29.7,34.8,32.9,42.3,57.3,2.0,44.8,60.0,7998.0,69.99,2.3618404601150287,6.791447861965491,3.4046011502875717,26.376779194798697,42.60690172543136,0.4296074018504626
"Camden County, Georgia",Camden,Georgia,GA,54666.0,3.6,11.7,12.9,12.2,9.2,16.3,83.4,6.0,95.3,70.98,49107.0,35.0,4.927036878652738,9.964526442258741,6.927036878652737,75.59485307593621,98.02211497342537,0.17744924348870833
"Candler County, Georgia",Candler,Georgia,GA,10803.0,3.0,21.0,32.8,21.2,26.6,42.3,57.5,4.0,100.0,69.97,10877.0,50.0,7.0,13.0,8.0,33.08,100.0,0.0
"Carroll County, Georgia",Carroll,Georgia,GA,119992.0,3.4,12.2,18.8,17.2,11.7,21.2,78.4,6.0,85.7,62.99,110907.0,35.0,5.262102482259912,11.869584426591649,8.110930779842572,69.75503412769257,93.92833635388207,0.1729467030935829
"Catoosa County, Georgia",Catoosa,Georgia,GA,67580.0,3.0,12.0,9.8,10.0,12.0,18.8,80.5,11.0,99.2,62.56,48545.0,35.0,13.755628798022453,19.755628798022457,13.220105057163458,59.908574930476874,99.15482541971367,0.0011535688536409518
"Charlton County, Georgia",Charlton,Georgia,GA,13392.0,3.8,21.1,24.4,19.9,24.2,35.9,62.7,3.0,68.8,74.99,12274.0,50.0,5.467899625224051,10.645266416816034,7.645266416816034,18.257279615447285,74.8715985008962,0.17736679159198304
"Chatham County, Georgia",Chatham,Georgia,GA,289430.0,3.3,14.5,15.8,13.5,8.9,16.0,83.7,10.0,96.7,63.85,260614.0,35.0,7.4851542894856,13.485154289485601,8.572336866016407,80.37847072682204,98.33769099127446,0.2404820922897465
"Chattahoochee County, Georgia",Chattahoochee,Georgia,GA,10907.0,4.6,6.4,16.8,9.7,14.2,21.6,78.4,2.0,72.4,80.31,19235.0,44.99,5.0,11.0,4.8341044970106575,73.57591785807122,82.74224070704446,0.0
"Chattooga County, Georgia",Chattooga,Georgia,GA,24789.0,5.0,15.4,19.9,18.1,23.8,32.5,67.3,2.0,94.2,64.98,27977.0,69.95,5.546913536118955,12.910140472531008,7.602602137470065,50.48955463416378,96.34042248990242,0.15802266147192334
"Cherokee County, Georgia",Cherokee,Georgia,GA,258773.0,2.7,10.9,8.1,5.0,4.7,7.9,91.8,9.0,98.4,69.11,217437.0,35.0,8.159089759332588,13.75413568067992,9.146782746266734,154.76808827384485,98.77653757180241,0.024292093801882846
"Clarke County, Georgia",Clarke,Georgia,GA,128331.0,3.6,14.0,31.3,14.2,9.8,19.8,80.0,8.0,99.5,62.99,123021.0,35.0,6.610115346160411,11.6986774615716,8.336292177758269,91.89188065452241,99.83541834320971,0.17890441469342633
"Clay County, Georgia",Clay,Georgia,GA,2834.0,6.9,23.6,41.1,36.9,28.0,36.4,60.7,2.0,66.1,59.99,2932.0,69.99,3.4433833560709415,8.257844474761255,5.4433833560709415,7.45457025920873,73.27967257844476,0.1855388813096862
"Clayton County, Georgia",Clayton,Georgia,GA,292256.0,4.2,19.2,20.0,22.5,8.7,22.5,77.2,8.0,99.3,79.35,279090.0,35.0,6.155405066466013,11.155405066466013,7.668759181625998,84.97880848471819,99.62173850729155,0.17728331362642874
"Clinch County, Georgia",Clinch,Georgia,GA,6618.0,3.9,21.2,39.2,20.5,33.5,54.2,45.1,2.0,55.0,79.99,6822.0,79.99,2.7132805628847847,7.713280562884784,4.713280562884784,29.42635737320434,62.69964819700967,0.14335971855760773
"Cobb County, Georgia",Cobb,Georgia,GA,760141.0,3.0,13.0,10.0,7.8,4.3,10.0,89.7,8.0,98.5,92.54,685417.0,35.0,6.909231898245885,12.015265159749468,8.61392261936894,114.43394659017795,98.74069508051302,0.2850075209689868
"Coffee County, Georgia",Coffee,Georgia,GA,43273.0,3.9,19.2,22.3,18.2,23.6,37.5,61.9,3.0,89.5,83.47,38082.0,25.0,5.788771598130349,10.78877159813035,6.93556010713723,36.531804001890656,90.68615093745076,0.24484008192847015
"Colquitt County, Georgia",Colquitt,Georgia,GA,45600.0,3.2,23.6,25.2,23.0,17.7,28.7,70.9,4.0,88.6,109.61,46710.0,34.95,5.154292442731749,10.283815028901733,6.466409762363519,22.00451552130165,90.09768786127167,0.49439092271462215
"Columbia County, Georgia",Columbia,Georgia,GA,156714.0,3.0,8.0,8.8,5.1,7.5,18.9,80.9,6.0,89.8,66.66,134552.0,35.0,7.163840002378263,12.27138949997027,8.57035198287651,104.10850139722933,93.85798055770259,0.11189725905226233
"Cook County, Georgia",Cook,Georgia,GA,17270.0,3.4,18.0,24.0,18.9,23.8,39.1,60.5,5.0,84.7,131.95,14225.0,55.0,6.0,12.0,7.00597539543058,34.155490333919154,87.01792618629175,0.0
"Coweta County, Georgia",Coweta,Georgia,GA,148509.0,2.9,10.4,11.1,9.0,8.8,16.5,83.3,7.0,96.3,67.5,127431.0,35.0,6.7132016542285635,12.414082915460131,8.713201654228563,81.2349048504681,98.43100972290887,0.06728347105492384
"Crawford County, Georgia",Crawford,Georgia,GA,12404.0,3.6,13.5,19.7,16.6,16.9,30.7,68.1,5.0,93.8,68.66,5678.0,79.99,3.256076083127862,9.884114124691793,4.628038041563931,21.29335857696372,96.72384642479747,0.37196195843606905
"Crisp County, Georgia",Crisp,Georgia,GA,22372.0,3.9,16.8,30.8,25.8,24.1,40.4,59.0,3.0,82.1,99.21,21938.0,34.95,9.0,15.0,8.0,20.98,88.0,0.0
"Dade County, Georgia",Dade,Georgia,GA,16116.0,3.3,12.4,15.1,10.2,16.3,26.0,72.9,6.0,91.1,67.58,15386.0,55.0,6.0,12.726114649681527,7.0,40.2100246977772,90.30865722085012,0.11614454699077083
"Dawson County, Georgia",Dawson,Georgia,GA,26108.0,2.8,11.2,8.7,10.6,8.0,16.9,83.1,6.0,87.4,68.65,26685.0,35.0,9.0,16.0,12.0,66.33,92.0,0.0
"Decatur County, Georgia",Decatur,Georgia,GA,26404.0,3.8,19.1,25.2,20.8,36.8,47.4,52.3,4.0,69.3,61.17,27461.0,55.0,4.349441025454281,11.34944102545428,5.989184661884126,153.47950111066604,77.61782163795928,0.1924547540147846
"DeKalb County, Georgia",DeKalb,Georgia,GA,759297.0,3.4,14.8,16.6,14.3,7.6,16.9,82.9,6.0,99.1,70.33,745107.0,35.0,6.083820176162619,11.26670397674428,8.052984336477847,92.66205268505058,99.58310148743736,0.7341066450858736
"Dodge County, Georgia",Dodge,Georgia,GA,20605.0,5.4,11.3,23.6,20.2,33.0,45.0,54.8,2.0,64.7,70.0,23654.0,69.99,8.824215777458358,13.770313689016659,6.217257123530904,18.6969578084045,69.78029085989685,0.3496660184324004
"Dooly County, Georgia",Dooly,Georgia,GA,13390.0,3.8,16.2,24.6,27.2,27.7,40.3,58.4,5.0,68.5,112.95,13607.0,34.95,7.1812302491364735,12.726537811420592,5.0,5.168941721172926,55.408392739031385,1.0
"Dougherty County, Georgia",Dougherty,Georgia,GA,87956.0,4.7,17.0,29.4,27.2,17.8,28.0,71.8,3.0,99.0,70.0,101511.0,35.0,4.649643880958713,10.649643880958713,6.4516850390598055,81.76915368777767,98.30378973707283,0.0
"Douglas County, Georgia",Douglas,Georgia,GA,146343.0,3.5,13.2,13.1,13.6,6.8,20.8,79.1,6.0,98.0,72.23,135569.0,35.0,6.935530984222057,11.935530984222057,8.551254342806985,112.05957954989711,98.9037021738008,0.06446901577794334
"Early County, Georgia",Early,Georgia,GA,10190.0,3.9,15.7,28.8,23.0,35.4,44.8,54.5,2.0,39.6,62.48,8550.0,79.99,3.0,8.0,5.0,23.17,52.0,0.0
"Echols County, Georgia",Echols,Georgia,GA,4006.0,2.8,25.6,26.8,11.2,32.1,55.8,44.2,0.0,0.0,,1040.0,,2.0,8.0,2.0,36.37,0.0,0.0
"Effingham County, Georgia",Effingham,Georgia,GA,64296.0,2.9,9.8,8.6,8.9,7.9,15.8,82.9,5.0,94.9,62.5,54598.0,35.0,6.012363090223085,12.012363090223085,7.070606981940731,44.81919850543976,97.57873914795414,0.18044617018938422
"Elbert County, Georgia",Elbert,Georgia,GA,19194.0,4.0,14.6,19.5,20.0,32.6,42.4,57.1,2.0,80.6,75.97,18720.0,59.95,6.860523504273504,13.000000000000002,5.0,28.841025641025645,84.60523504273505,0.13947649572649573
"Emanuel County, Georgia",Emanuel,Georgia,GA,22646.0,5.3,17.9,27.0,24.1,20.0,34.7,65.1,3.0,95.1,89.76,20024.0,59.95,7.31662005593288,14.142578905313623,5.901068717538953,29.1230922892529,94.41535157810625,0.325809029165002
"Evans County, Georgia",Evans,Georgia,GA,10654.0,3.4,16.8,27.3,27.7,20.2,33.7,66.1,4.0,83.5,66.65,11090.0,59.95,8.0,15.0,8.0,72.45,82.0,0.0
"Fannin County, Georgia",Fannin,Georgia,GA,26188.0,3.3,13.4,13.5,10.3,15.6,20.9,78.3,7.0,90.7,63.78,23768.0,42.95,7.524991585324807,12.995035341635816,7.335955907101987,16.420207421743523,91.77860989565804,0.5299562436889935
"Fayette County, Georgia",Fayette,Georgia,GA,114421.0,3.0,7.3,5.6,4.6,6.6,10.6,89.2,6.0,98.6,62.99,108994.0,35.0,6.3825715176982225,11.732407288474594,7.795548378809842,114.58455392039929,98.94837330495257,0.10410664807237097
"Floyd County, Georgia",Floyd,Georgia,GA,98498.0,3.8,13.8,19.1,15.6,16.6,22.4,77.3,6.0,92.9,62.99,92460.0,35.0,7.465931213497728,15.600735453168937,8.934090417477828,86.74481029634437,96.74063378758382,0.12119835604585766
"Forsyth County, Georgia",Forsyth,Georgia,GA,244252.0,2.7,8.9,5.9,4.0,4.0,7.3,92.6,6.0,99.8,72.99,184207.0,35.0,7.672526016926609,13.039292752175541,9.446068824746073,107.0698660202924,99.57955995157621,0.07007334140396401
"Franklin County, Georgia",Franklin,Georgia,GA,23349.0,3.5,16.4,24.8,24.8,21.7,35.6,63.3,4.0,62.0,73.31,23354.0,69.99,5.878222146099169,11.800805001284578,7.287488224715252,23.464900231223773,83.0340840969427,0.4012160657703177
"Fulton County, Georgia",Fulton,Georgia,GA,1063937.0,3.5,11.0,15.1,12.1,8.4,16.7,83.1,8.0,97.4,87.29,935026.0,35.0,7.212016564245271,12.741043564563975,9.331170470125963,105.45208199558084,99.37798841957336,0.7489588524811073
"Gilmer County, Georgia",Gilmer,Georgia,GA,31369.0,3.5,21.4,16.3,12.2,17.5,25.2,73.7,5.0,82.9,71.98,25660.0,66.95,6.0,12.0,7.0,26.020985580670303,87.97774746687452,0.0
"Glascock County, Georgia",Glascock,Georgia,GA,2971.0,3.7,8.3,18.3,14.2,23.7,36.1,63.0,2.0,0.7,69.99,2138.0,79.99,2.0,8.0,4.0,44.7,1.0,0.0
"Glynn County, Georgia",Glynn,Georgia,GA,85292.0,3.3,14.1,18.3,16.8,13.3,21.7,78.1,5.0,97.7,62.99,79064.0,35.0,5.854269958514622,11.378857634321562,7.483861175756349,76.64554158656279,98.4652306991804,0.010181625012647981
"Gordon County, Georgia",Gordon,Georgia,GA,57963.0,3.4,16.2,20.0,15.9,17.5,29.9,69.9,6.0,90.2,67.99,52975.0,35.0,5.9945257196790935,12.176101934874941,7.1730250117980185,35.68999584709769,94.88730533270412,0.24392638036809816
"Grady County, Georgia",Grady,Georgia,GA,24633.0,3.4,18.3,23.5,20.9,20.7,29.2,70.4,3.0,82.7,62.47,22422.0,69.99,6.351351351351352,13.180001783962181,6.351351351351352,23.573754348407814,88.44911247881547,0.32432432432432434
"Greene County, Georgia",Greene,Georgia,GA,18324.0,3.9,15.8,22.3,14.8,18.5,31.9,67.7,10.0,68.8,55.12,15688.0,25.0,8.954360020397756,14.866777154513004,9.531998980112188,109.49719849566549,71.66751657317695,0.005099439061703213
"Gwinnett County, Georgia",Gwinnett,Georgia,GA,936250.0,3.0,17.0,11.4,8.5,4.8,12.3,87.5,8.0,99.4,66.57,743670.0,35.0,6.841032985060578,11.977083921631909,8.589141689190098,115.00664958919948,99.5084809122326,0.20511382736966666
"Habersham County, Georgia",Habersham,Georgia,GA,45328.0,3.5,17.3,14.5,13.4,23.1,32.8,66.7,3.0,83.9,79.99,44889.0,59.95,4.434404865334492,11.092828978146095,6.251264229543986,21.929430595468823,93.3009200472276,0.7125353650114726
"Hall County, Georgia",Hall,Georgia,GA,204441.0,2.8,17.4,14.6,10.5,10.5,17.6,82.1,7.0,98.1,67.5,181957.0,35.0,6.78408635007172,11.806305885456457,8.452442060486819,78.63233983853328,98.79622658100541,0.16176349357265726
"Hancock County, Georgia",Hancock,Georgia,GA,8457.0,5.5,9.5,24.1,26.2,37.8,54.3,45.7,4.0,5.2,69.99,9656.0,69.99,6.0,12.0,8.0,16.19,62.0,0.0
"Haralson County, Georgia",Haralson,Georgia,GA,29792.0,3.3,12.3,15.5,16.6,17.1,27.0,72.5,6.0,45.3,67.5,43424.0,35.0,4.775953389830508,11.938306005895358,7.775953389830509,46.720220385040534,99.99999999999999,0.30554532056005895
"Harris County, Georgia",Harris,Georgia,GA,35236.0,3.1,7.8,6.8,7.8,10.5,17.4,81.1,9.0,89.8,75.24,31827.0,35.0,7.749458007352247,14.013636220818801,8.323718855060168,35.26912181481132,84.95616929022528,0.4592327269299651
"Hart County, Georgia",Hart,Georgia,GA,26205.0,3.5,11.4,17.4,16.5,22.0,33.7,65.6,5.0,83.9,79.97,16382.0,79.95,5.0,10.0,5.0,25.51,99.0,0.0
"Heard County, Georgia",Heard,Georgia,GA,11923.0,3.3,12.6,15.6,23.2,19.2,32.9,67.1,3.0,58.8,65.0,9433.0,55.0,3.0,9.0,5.0,30.2,72.0,0.0
"Henry County, Georgia",Henry,Georgia,GA,234561.0,3.5,11.0,10.4,10.8,5.1,12.8,87.0,6.0,99.6,67.5,152626.0,35.0,6.252702684994693,11.576238648723022,8.252702684994691,83.48858405514133,99.84767339771729,0.0
"Houston County, Georgia",Houston,Georgia,GA,157863.0,3.3,11.8,15.7,13.2,10.9,20.0,79.9,9.0,98.0,60.16,130631.0,35.0,10.792063139683536,16.792063139683535,11.241244421308878,76.17167234423682,96.87310822086641,0.28537636548751827
"Irwin County, Georgia",Irwin,Georgia,GA,9416.0,4.7,15.8,26.5,16.9,32.4,42.4,57.3,2.0,63.1,60.0,6714.0,69.99,3.0,8.0,5.0,25.15,76.0,0.0
"Jackson County, Georgia",Jackson,Georgia,GA,72977.0,2.7,12.0,11.0,12.1,14.0,21.6,77.7,6.0,87.5,62.99,63860.0,35.0,5.841309113686188,11.545975571562796,7.830363294707172,82.65852411525212,94.65692139054181,0.22815533980582525
"Jasper County, Georgia",Jasper,Georgia,GA,14219.0,3.1,13.7,17.8,20.4,16.5,31.4,68.3,2.0,63.0,67.5,11254.0,35.0,6.266127599075885,12.266127599075883,7.22356495468278,18.292775013328598,76.27536875777501,0.160298560511818
"Jeff Davis County, Georgia",Jeff Davis,Georgia,GA,15115.0,4.6,19.7,20.6,17.1,21.8,45.7,54.3,1.0,69.2,70.0,14468.0,55.0,5.0,10.0,5.0,45.07,73.0,0.0
"Jefferson County, Georgia",Jefferson,Georgia,GA,15362.0,4.7,14.4,24.8,25.7,25.9,45.3,53.8,2.0,8.3,58.74,17512.0,50.0,4.52615349474646,9.891502969392416,3.4815555047967104,10.738549566011876,8.98166971219735,0.6729100045682961
"Jenkins County, Georgia",Jenkins,Georgia,GA,8676.0,5.1,16.7,29.3,26.3,25.3,45.7,52.8,5.0,81.7,66.65,7698.0,55.0,7.0,12.0,8.0,23.31,86.0,0.0
"Johnson County, Georgia",Johnson,Georgia,GA,9643.0,3.6,14.8,22.6,21.6,28.1,41.7,57.4,1.0,28.7,114.63,9201.0,,4.803716987283991,10.803716987283991,3.196283012716009,16.552937724160415,22.039452233452884,0.0
"Jones County, Georgia",Jones,Georgia,GA,28735.0,3.2,11.6,15.0,15.1,13.5,22.0,77.2,6.0,85.0,63.49,16653.0,65.99,5.361076082387557,11.201345102984446,5.6805380411937785,19.540008406893655,88.79865489701555,0.15973097940311054
"Lamar County, Georgia",Lamar,Georgia,GA,19077.0,3.9,13.7,20.2,12.5,17.7,30.8,69.2,3.0,71.0,67.5,19148.0,35.0,6.0,12.78389387925632,6.352987257154794,35.83293607687487,76.98851054940464,0.07922498433256737
"Lanier County, Georgia",Lanier,Georgia,GA,10423.0,3.9,15.7,23.8,18.2,24.1,49.0,51.0,4.0,84.0,70.0,6560.0,50.0,7.0,12.0,7.0,20.38,90.0,0.0
"Laurens County, Georgia",Laurens,Georgia,GA,47546.0,4.6,11.2,26.7,19.6,28.2,42.4,56.7,4.0,60.9,98.76,50842.0,34.95,6.384917981196648,12.24023445183116,4.726544982494788,32.117022737107106,66.98428464655206,0.43847606309743914
"Lee County, Georgia",Lee,Georgia,GA,29992.0,3.1,10.9,13.8,10.5,8.8,17.4,82.4,2.0,93.2,66.59,24792.0,35.0,7.639883833494676,14.639883833494677,5.8199419167473385,60.9231752178122,91.43852855759923,0.060019361084220714
"Liberty County, Georgia",Liberty,Georgia,GA,61435.0,3.7,12.5,16.8,15.1,7.9,16.4,83.4,8.0,95.9,60.0,63106.0,50.0,5.812569327797674,11.812569327797672,7.173929578803916,69.24071593826261,95.208965866954,0.36136025100624347
"Lincoln County, Georgia",Lincoln,Georgia,GA,7921.0,3.9,12.4,19.5,15.3,31.7,46.8,53.1,1.0,100.0,62.97,7676.0,59.99,3.0,8.0,4.0,39.14,100.0,0.0
"Long County, Georgia",Long,Georgia,GA,19559.0,3.6,14.8,20.0,17.9,8.9,21.3,78.7,7.0,89.5,65.0,9749.0,65.0,5.0,11.0,7.0,20.02,92.0,0.0
"Lowndes County, Georgia",Lowndes,Georgia,GA,117406.0,3.5,15.8,25.2,18.8,15.2,34.7,65.0,8.0,90.1,83.98,114159.0,35.0,7.905403866537024,13.309489396368225,8.864960274704579,54.00493714906402,94.65015460892265,0.23247400555365763
"Lumpkin County, Georgia",Lumpkin,Georgia,GA,33610.0,3.1,11.7,17.2,13.4,14.5,21.4,77.7,5.0,81.3,70.0,25296.0,55.0,6.0,11.0,8.0,36.05,88.0,0.0
"McDuffie County, Georgia",McDuffie,Georgia,GA,21312.0,5.1,13.4,24.9,22.9,26.2,41.4,58.1,2.0,67.0,63.33,21816.0,35.0,4.5769160249358265,10.576916024935826,4.5769160249358265,31.154829941327463,82.8268701870187,0.0
"McIntosh County, Georgia",McIntosh,Georgia,GA,14378.0,3.6,15.9,19.9,18.0,15.8,27.0,71.4,7.0,83.5,63.33,15739.0,69.95,4.251794904377661,9.862888366478176,5.871275176313616,29.110820255416478,96.10693182540186,0.12033801385094352
"Macon County, Georgia",Macon,Georgia,GA,12947.0,4.6,20.1,27.2,26.4,25.6,42.1,57.8,3.0,67.6,59.99,13273.0,50.0,3.4087244782641455,9.408724478264144,5.408724478264146,13.929460559029607,75.59677540872448,0.16439388231748664
"Madison County, Georgia",Madison,Georgia,GA,29880.0,3.0,13.7,17.4,14.0,18.9,28.2,71.1,1.0,82.4,70.0,35044.0,35.0,5.585292774797398,11.685424038351787,7.270973633146902,24.016578016208193,93.34724917246889,0.8017920328729597
"Marion County, Georgia",Marion,Georgia,GA,8359.0,4.2,14.2,21.0,20.1,23.5,45.2,54.5,3.0,97.6,69.97,8670.0,55.0,5.693886966551327,11.693886966551327,7.04083044982699,18.39831141868512,75.26528258362168,0.3469434832756632
"Meriwether County, Georgia",Meriwether,Georgia,GA,21167.0,4.5,14.3,21.5,21.5,27.2,41.2,57.2,4.0,52.0,69.99,19621.0,35.0,3.5785128178991896,9.925386065949748,4.611385760154936,34.288568880281325,62.418684062993734,0.6895673003414708
"Miller County, Georgia",Miller,Georgia,GA,5718.0,3.3,14.7,23.0,19.0,37.7,48.1,50.3,4.0,11.4,62.48,7044.0,55.0,5.626064735945485,11.501419647927314,7.252129471890971,5.943057921635434,55.14735945485519,1.0
"Mitchell County, Georgia",Mitchell,Georgia,GA,21863.0,4.6,17.7,24.0,25.0,23.5,35.4,64.1,3.0,62.9,66.65,22505.0,35.0,6.183736947345034,12.613952455009997,5.624838924683404,48.936343923572544,65.00057764941124,0.1286825149966674
"Monroe County, Georgia",Monroe,Georgia,GA,27578.0,3.2,11.8,13.9,9.7,14.6,25.0,74.4,10.0,53.5,67.19,42848.0,35.0,7.598464339058999,14.056595407020163,9.286384428678119,32.41948165608663,80.81457710978341,0.07801997759522031
"Montgomery County, Georgia",Montgomery,Georgia,GA,9172.0,5.3,15.0,20.7,20.7,19.6,27.1,72.3,2.0,37.0,114.63,25019.0,25.0,7.608377632998922,14.890243415004598,8.316279627483114,40.23551261041609,74.12970142691555,0.33674407450337746
"Morgan County, Georgia",Morgan,Georgia,GA,19276.0,3.1,11.8,10.5,14.3,13.6,25.7,73.9,4.0,45.4,60.0,22696.0,35.0,5.295558688755728,11.295558688755728,7.161966866408178,86.59836094465985,76.22347550229114,0.10741980965808953
"Murray County, Georgia",Murray,Georgia,GA,40096.0,5.0,16.9,15.4,16.1,16.4,24.4,75.0,5.0,98.0,69.99,37135.0,55.0,7.519456038777434,14.327238454288405,6.807782415510974,61.854668372155636,98.61556483102194,0.09610879224451327
"Muscogee County, Georgia",Muscogee,Georgia,GA,195769.0,4.5,12.9,21.1,18.9,14.1,24.7,75.1,7.0,99.2,89.97,183746.0,35.0,8.094891861591545,14.324992108671752,9.5805514133641,102.22892356840421,99.35686219019733,0.16311103370957736
"Newton County, Georgia",Newton,Georgia,GA,111744.0,3.9,12.3,17.9,19.2,9.1,17.5,82.4,6.0,97.3,62.99,98178.0,35.0,7.233657234818391,12.233657234818391,8.876785023121268,68.36233412780868,98.91308643484282,0.00016296930065798855
"Oconee County, Georgia",Oconee,Georgia,GA,40280.0,2.5,6.8,5.9,4.5,6.1,13.7,85.9,6.0,92.0,67.5,32518.0,35.0,6.000000000000001,11.681899255796791,7.842887016421675,50.8592072083154,97.27240297681286,0.15711298357832584
"Oglethorpe County, Georgia",Oglethorpe,Georgia,GA,15259.0,3.2,12.1,15.1,14.6,24.1,34.7,64.6,5.0,73.7,55.22,9139.0,55.0,4.890797680271365,10.139511981617245,5.326950432213589,17.0456450377503,77.63409563409563,0.842433526644053
"Paulding County, Georgia",Paulding,Georgia,GA,168667.0,2.9,10.9,9.4,9.3,6.7,15.0,84.7,5.0,99.3,60.82,101795.0,35.0,6.008350115428065,12.23101331106636,7.77938995039049,102.10291222555136,100.0,0.0
"Peach County, Georgia",Peach,Georgia,GA,27546.0,4.1,13.5,21.5,22.7,18.5,26.7,73.0,7.0,84.6,68.66,37430.0,55.0,10.013999465669249,17.534998664173123,9.520999198503873,23.471638792412506,90.40900347314988,0.0
"Pickens County, Georgia",Pickens,Georgia,GA,32591.0,3.0,11.2,9.6,11.7,12.1,16.6,83.4,7.0,91.6,68.98,28268.0,66.95,8.954966746851563,14.917857648224139,9.954966746851564,19.193444177161457,91.13216357718976,0.2519810386302533
"Pierce County, Georgia",Pierce,Georgia,GA,19465.0,3.4,16.5,21.7,18.1,17.5,35.5,64.3,4.0,73.8,55.0,17778.0,25.0,5.0,11.0,5.1711666104173695,22.019536505793678,83.57666779165261,0.17116661041736977
"Pike County, Georgia",Pike,Georgia,GA,18962.0,3.0,13.1,13.1,12.7,13.5,25.8,73.6,7.0,31.2,67.5,18508.0,35.0,4.238059217635617,11.238059217635616,5.791009293278583,41.03348119732007,72.62502701534471,0.5190728333693538
"Polk County, Georgia",Polk,Georgia,GA,42613.0,3.6,15.3,17.9,19.6,14.9,26.8,72.6,6.0,93.9,67.5,47471.0,35.0,6.288660445324514,14.090307766847129,9.314634197720714,60.69263718902067,99.18948410608583,0.0991763392386931
"Pulaski County, Georgia",Pulaski,Georgia,GA,11137.0,3.8,15.2,25.9,21.2,21.2,34.2,65.2,1.0,72.9,59.99,12998.0,,4.0,10.0,5.0,42.94,73.0,0.0
"Putnam County, Georgia",Putnam,Georgia,GA,22119.0,4.3,13.8,16.0,12.9,11.9,26.3,73.6,9.0,86.7,59.28,20039.0,35.0,11.0,17.0,12.0,161.94,95.0,0.0
"Quitman County, Georgia",Quitman,Georgia,GA,2299.0,5.0,21.8,22.7,31.3,32.2,46.6,52.9,2.0,65.5,65.0,,,,,,,,
"Rabun County, Georgia",Rabun,Georgia,GA,17137.0,3.5,18.4,19.4,14.7,21.6,29.5,69.8,4.0,89.5,79.99,14871.0,59.95,4.968663842377782,9.842445027234215,6.968663842377783,20.048187075516108,90.91016071548651,0.5048080156008339
"Randolph County, Georgia",Randolph,Georgia,GA,6778.0,4.8,16.2,37.0,30.2,23.1,29.5,69.1,2.0,82.7,79.99,7803.0,69.99,3.526720492118416,8.467640651031655,5.526720492118415,9.514052287581698,82.64910931692938,0.7929001666025887
"Richmond County, Georgia",Richmond,Georgia,GA,202518.0,4.5,13.6,23.4,21.1,15.4,27.4,72.2,6.0,94.9,66.66,184114.0,35.0,6.619268496692266,11.849419381470176,8.586354106694767,68.12942823468069,98.75706898986499,0.10577685564378592
"Rockdale County, Georgia",Rockdale,Georgia,GA,90896.0,3.8,13.6,15.2,12.6,6.9,20.5,79.2,6.0,99.3,62.99,83685.0,35.0,6.699073908107785,11.699073908107785,7.674278544542033,92.54025811077254,99.09722172432335,0.0
"Schley County, Georgia",Schley,Georgia,GA,5257.0,3.9,16.7,21.3,24.7,19.1,30.0,69.8,2.0,78.0,70.0,4962.0,69.99,7.0,13.0,7.0,50.09,80.0,0.0
"Screven County, Georgia",Screven,Georgia,GA,13966.0,5.4,14.1,22.3,20.2,23.2,30.5,69.3,2.0,98.6,79.99,13957.0,79.99,4.0,10.708318406534355,6.0,32.290446370996634,99.09722719782188,0.0972271978218815
"Seminole County, Georgia",Seminole,Georgia,GA,8090.0,4.4,16.2,24.4,19.5,26.5,35.9,63.5,2.0,77.7,59.99,7871.0,69.99,3.0,9.0,5.0,27.38,82.0,0.0
"Spalding County, Georgia",Spalding,Georgia,GA,66703.0,4.0,15.5,21.6,19.6,19.4,33.1,66.7,6.0,95.9,67.5,62021.0,35.0,5.403605230486448,11.402718434078778,7.403605230486448,59.555039422131216,98.40803921252478,0.0008867964076683704
"Stephens County, Georgia",Stephens,Georgia,GA,25925.0,3.9,15.5,16.2,22.3,18.2,29.8,69.1,5.0,92.7,79.97,30059.0,59.95,7.3135832862038,12.3135832862038,9.3135832862038,26.986159885558404,91.60973418942746,0.26045443960211584
